,Wavenumber (cm-1),Best fit (AU),pseudo-voigt component 0 (AU),pseudo-voigt component 1 (AU),pseudo-voigt component 2 (AU),pseudo-voigt component 3 (AU)
79,2651.684,0.11692876845527801,1.82035176805924e-14,0.00026521424391881434,7.048694391275066e-16,8.26959702236139e-14
80,2653.612,0.11706523575485059,1.839923121489548e-14,0.0002685109105206005,7.15475538886722e-16,1.424423595710496e-13
81,2655.5409999999997,0.11720198781454062,1.859822057979652e-14,0.00027187113362680106,7.263273853936128e-16,2.4409650813641143e-13
82,2657.469,0.11733888457616276,1.880034837042134e-14,0.0002752929829676655,7.374210056564796e-16,4.1586586419581856e-13
83,2659.397,0.11747599865262814,1.9005787673369823e-14,0.00027877978635430046,7.48769525677343e-16,7.045371972789211e-13
84,2661.3259999999996,0.11761340315897255,1.921472038964069e-14,0.00028233505735144915,7.603869144640932e-16,1.187166481694067e-12
85,2663.2540000000004,0.11775095751416308,1.9427004633339264e-14,0.00028595681638372654,7.722693610140049e-16,1.9885223204150383e-12
86,2665.183,0.11788880634687272,1.9642937479544073e-14,0.00028965058318066383,7.844378519832369e-16,3.3127327903725286e-12
87,2667.112,0.1180268803647355,1.9862488767708317e-14,0.00029341631773712856,7.968955006621596e-16,5.4873011807357694e-12
88,2669.04,0.1181651098682192,2.00856230499894e-14,0.0002972538901578487,8.096455852551069e-16,9.035115305952992e-12
89,2670.969,0.11830364036577098,2.0312655308504308e-14,0.00030116922222683454,8.227124892996566e-16,1.4795662831836518e-11
90,2672.897,0.11844233040821132,2.0543435979425353e-14,0.00030516025815055173,8.360958216779737e-16,2.4084524923546307e-11
91,2674.825,0.11858125399739612,2.0778170004614315e-14,0.00030923107724557266,8.498190026779126e-16,3.898125999626276e-11
92,2676.7540000000004,0.11872048569050836,2.101707306296624e-14,0.00031338599373227524,8.639127556313353e-16,6.274715285638176e-11
93,2678.6820000000002,0.11885988352375833,2.125999088370045e-14,0.0003176229114858096,8.783981587278461e-16,1.0040099366304494e-10
94,2680.611,0.11899959457296752,2.1507271659777172e-14,0.00032194851400699405,8.933493145276393e-16,1.5977156478779178e-10
95,2682.54,0.11913954915429424,2.175888953295776e-14,0.00032636299331399244,9.088621056603491e-16,2.5279696745792306e-10
96,2684.468,0.11927967716679976,2.201481255852263e-14,0.00033086643851940604,9.25114543766512e-16,3.976067181605065e-10
97,2686.3959999999997,0.11942005383408129,2.2275274856220236e-14,0.0003354636447880812,9.424573615367222e-16,6.217975011166979e-10
98,2688.325,0.11956075499814049,2.2540523081636077e-14,0.00034015969015368397,9.61536459877669e-16,9.67066652079942e-10
99,2690.2529999999997,0.1197016377293915,2.281039342314975e-14,0.0003449524169746127,9.835123111006655e-16,1.4951237543810631e-09
100,2692.1820000000002,0.11984285125046461,2.308528045142083e-14,0.0003498496060384399,1.010596829635735e-15,2.298833169715012e-09
101,2694.11,0.11998425237101508,2.3365017169441703e-14,0.0003548490870267847,1.0468019295109049e-15,3.5136106627335927e-09
102,2696.039,0.12012599116400417,2.3650015443511516e-14,0.0003599590596068723,1.0995965727142004e-15,5.340806087392814e-09
103,2697.968,0.12026799795014999,2.3940256950131424e-14,0.00036518008184141466,1.1825594552538966e-15,8.07180692967213e-09
104,2699.8959999999997,0.12041020273919752,2.4235716356061427e-14,0.0003705125951115219,1.3203218842037512e-15,1.2127030055556958e-08
105,2701.824,0.12055268321509975,2.4536675884248165e-14,0.00037596262782171316,1.5575432121442078e-15,1.811554910218556e-08
106,2703.7529999999997,0.1206955180197166,2.4843433326205917e-14,0.00038153657606559743,1.9747006771002284e-15,2.691227294533041e-08
107,2705.6809999999996,0.12083856408097383,2.5155812284504216e-14,0.0003872322660780856,2.7147044247603493e-15,3.974411735072911e-08
108,2707.61,0.12098197545514411,2.54742830289424e-14,0.00039305934928123476,4.033079872550035e-15,5.837065694026786e-08
109,2709.538,0.12112560996065799,2.579866613505136e-14,0.0003990156657737405,6.37789572564183e-15,8.522018783706199e-08
110,2711.467,0.12126962422028982,2.6129453797616702e-14,0.0004051114264035665,1.0540814612016524e-14,1.2373343213523674e-07
111,2713.3959999999997,0.12141395290689719,2.646664013679784e-14,0.00041134776489138466,1.789819009582305e-14,1.786250694725118e-07
112,2715.324,0.12155853197416723,2.6810211209778506e-14,0.0004177256851031992,3.082945159033516e-14,2.5634674864238746e-07
113,2717.252,0.12170344971593501,2.7160511278037504e-14,0.00042425289572973465,5.3446529767085854e-14,3.657855751082894e-07
114,2719.1809999999996,0.12184879847081442,2.751790418734116e-14,0.0004309375923946627,9.281358314930484e-14,5.190591394847103e-07
