,Wavenumber (cm-1),Best fit (AU),pseudo-voigt component 0 (AU),pseudo-voigt component 1 (AU)
152,2092.419,0.09272659288261333,1.0703665843234061e-06,0.004743905220976439
153,2094.348,0.0918886685968683,7.551949621672249e-07,0.0039053065398512023
154,2096.276,0.09117916321230234,5.298792031178345e-07,0.0031950374059153
155,2098.205,0.0905821708756913,3.6959516791761326e-07,0.002597215764082565
156,2100.133,0.09008402026476661,2.56371369610653e-07,0.00209818928958396
157,2102.062,0.08967092578777917,1.7678353016981435e-07,0.0016841847889240143
158,2103.99,0.08933118867994262,1.21230107277359e-07,0.0013435141248943979
159,2105.919,0.08905350483858222,8.264291672221754e-08,0.0010648792369571036
160,2107.847,0.08882840814114733,5.6027310112909944e-08,0.000838820023268604
161,2109.776,0.0886470675539775,3.7758765568724644e-08,0.0006565080486198465
162,2111.7039999999997,0.08850218762742658,2.5306808119776528e-08,0.0005106514199214177
163,2113.633,0.08838716472521335,1.6860803066966175e-08,0.00039464728543324906
164,2115.561,0.08829661764510946,1.117180351757471e-08,0.0003031167179787095
165,2117.49,0.08822580409197367,7.35846182425819e-09,0.0002313172776475945
166,2119.4179999999997,0.08817091222358306,4.820116363791349e-09,0.00017543874900651898
167,2121.347,0.08812866346241256,3.1386590652461692e-09,0.00013220194649876194
168,2123.275,0.08809645818285286,2.032544551122047e-09,9.900855221142319e-05
169,2125.2039999999997,0.0880721102653252,1.3084271965009335e-09,7.367161374850283e-05
170,2127.132,0.08805390952248525,8.376661030438153e-10,5.448209858075627e-05
171,2129.061,0.0880404480622682,5.330933921024217e-10,4.003117562531873e-05
172,2130.989,0.08803063895783353,3.3740392257080877e-10,2.923300154396449e-05
173,2132.9179999999997,0.08802360552237025,2.1227817924859882e-10,2.1209901636293123e-05
174,2134.846,0.08801867950597235,1.3282432925418787e-10,1.5294677108349234e-05
175,2136.775,0.08801533264857056,8.261439524938115e-11,1.0958058086803389e-05
176,2138.703,0.08801316705974266,5.11038308202548e-11,7.80319093736248e-06
177,2140.632,0.0880118745644374,3.142349060018857e-11,5.52088122273596e-06
178,2142.56,0.08801122544829004,1.921664688356867e-11,3.882445201357184e-06
179,2144.489,0.08801104563586666,1.1681576526792189e-11,2.7127839627996564e-06
180,2146.417,0.08801120635040534,7.062364184235158e-12,1.8841487905821757e-06
181,2148.346,0.08801161243922595,4.244209919593767e-12,1.3003618181038035e-06
